name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry,production_value,attraction_value
,277,3,,,,0,-111.93707090000001,33.4135303,,749,741
,278,3,,,,0,-111.9349328,33.4135475,,749,741
,279,1,,,,0,-111.93277749999999,33.4135705,,749,741
,280,9,,,,0,-111.9306007,33.4026531,,749,741
,281,9,,turning_circle,,0,-111.93012,33.4066513,,749,741
,282,9,,,,0,-111.93011680000001,33.4083093,,749,741
,283,9,,,,0,-111.9301223,33.4075271,,749,741
,284,5,,,,0,-111.9194063,33.4128698,,749,741
,285,5,,turning_circle,,0,-111.91939909999999,33.4112636,,749,741
,286,9,,,,0,-111.91961509999999,33.4032222,,749,741
,287,9,,,,0,-111.91927920000002,33.4025489,,749,741
,288,0,,,,0,-111.91179740000001,33.418377500000005,,749,741
,289,0,,,,0,-111.91179740000001,33.4161499,,749,741
,290,7,,,,0,-111.91060209999999,33.403439299999995,,749,741
,291,4,,,,0,-111.9337287,33.4084455,,749,741
,292,4,,,,0,-111.9338966,33.4066011,,749,741
,293,5,,,,0,-111.9203154,33.4128768,,749,741
,294,5,,,,0,-111.92259150000001,33.4128945,,749,741
,295,9,,turning_circle,,0,-111.92357340000002,33.4042512,,749,741
