name,node_id,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,geometry
,2942,,,traffic_signals,secondary,0,-111.9607788,33.4036863,POINT (-111.9607788 33.4036863)
,2943,2391,,,residential,0,-111.8887427,33.395067,POINT (-111.8887427 33.395067)
,2944,2392,,turning_circle,residential,0,-111.8886607,33.3952025,POINT (-111.8886607 33.3952025)
,2945,,,turning_circle,others,0,-111.9661514,33.4028261,POINT (-111.9661514 33.4028261)
,2946,2393,,,residential,0,-111.9296117,33.4550507,POINT (-111.9296117 33.4550507)
,2947,2394,,,residential,0,-111.8920046,33.4046891,POINT (-111.8920046 33.4046891)
,2948,2395,,,residential,0,-111.8919884,33.4038774,POINT (-111.8919884 33.4038774)
,2949,2396,,,residential,0,-111.8920141,33.402602,POINT (-111.8920141 33.402602)
,2950,2397,,,residential,0,-111.942645,33.3977186,POINT (-111.942645 33.3977186)
,2951,2398,,,residential,0,-111.9740457,33.3964286,POINT (-111.9740457 33.3964286)
,2952,2399,,turning_circle,residential,0,-111.8859883,33.4006559,POINT (-111.8859883 33.4006559)
,2953,2400,,,residential,0,-111.8920322,33.396071,POINT (-111.8920322 33.396071)
,2954,2401,,,residential,0,-111.9266057,33.3782656,POINT (-111.9266057 33.3782656)
,2955,2402,,,residential,0,-111.9266033,33.3793705,POINT (-111.9266033 33.3793705)
,2956,2403,,,residential,0,-111.9330514,33.4511356,POINT (-111.9330514 33.4511356)
,2957,2404,,,residential,0,-111.9177651,33.3712368,POINT (-111.9177651 33.3712368)
,2958,,,,others,0,-111.9652355,33.4273548,POINT (-111.9652355 33.4273548)
,2959,2405,,,residential,0,-111.8925313,33.3820752,POINT (-111.8925313 33.3820752)
,2960,2406,,,residential,0,-111.92495,33.3554933,POINT (-111.92495 33.3554933)
,2961,,,,secondary,0,-111.8941013,33.3638711,POINT (-111.8941013 33.3638711)
,2962,,,,secondary,0,-111.8937615,33.3774838,POINT (-111.8937615 33.3774838)
,2963,2407,,,residential,0,-111.8940112,33.3754606,POINT (-111.8940112 33.3754606)
,2964,2408,,,residential,0,-111.9165532,33.3485723,POINT (-111.9165532 33.3485723)
,2965,2409,,,residential,0,-111.9165532,33.3478267,POINT (-111.9165532 33.3478267)
,2966,2410,,,residential,0,-111.8942292,33.3677111,POINT (-111.8942292 33.3677111)
,2967,2411,,,residential,0,-111.9163472,33.3471599,POINT (-111.9163472 33.3471599)
,2968,2412,,,residential,0,-111.9157404,33.3527617,POINT (-111.9157404 33.3527617)
,2969,2413,,,residential,0,-111.9158701,33.3534938,POINT (-111.9158701 33.3534938)
,2970,2414,,,residential,0,-111.9160203,33.3542645,POINT (-111.9160203 33.3542645)
,2971,2415,,,residential,0,-111.9161736,33.355105,POINT (-111.9161736 33.355105)
,2972,,,,secondary,0,-111.9783352,33.3996652,POINT (-111.9783352 33.3996652)
,2973,,,,tertiary,0,-111.962965,33.3519532,POINT (-111.962965 33.3519532)
,2974,,,,motorway,0,-111.8988453,33.3858332,POINT (-111.8988453 33.3858332)
,2975,2416,,,residential,0,-111.9746855,33.4219177,POINT (-111.9746855 33.4219177)
,2976,2417,,,residential,0,-111.9105708,33.4147001,POINT (-111.9105708 33.4147001)
,2977,2418,,,residential,0,-111.9746254,33.4178772,POINT (-111.9746254 33.4178772)
,2978,2419,,,residential,0,-111.9104449,33.4133193,POINT (-111.9104449 33.4133193)
,2979,2420,,,residential,0,-111.910382,33.414697,POINT (-111.910382 33.414697)
,2980,2421,,,residential,0,-111.9104503,33.4127103,POINT (-111.9104503 33.4127103)
,2981,2422,,,residential,0,-111.9100648,33.3414862,POINT (-111.9100648 33.3414862)
,2982,2423,,,residential,0,-111.9027916,33.3514744,POINT (-111.9027916 33.3514744)
,2983,2424,,,residential,0,-111.9073612,33.3415149,POINT (-111.9073612 33.3415149)
,2984,2425,,,residential,0,-111.9037563,33.3415579,POINT (-111.9037563 33.3415579)
,2985,2426,,turning_circle,residential,0,-111.9026746,33.3415661,POINT (-111.9026746 33.3415661)
,2986,2427,,,residential,0,-111.9209018,33.3419081,POINT (-111.9209018 33.3419081)
,2987,2428,,,residential,0,-111.8906024,33.4184204,POINT (-111.8906024 33.4184204)
,2988,2429,,,residential,0,-111.9253594,33.3419257,POINT (-111.9253594 33.3419257)
,2989,2430,,,residential,0,-111.9274193,33.3419328,POINT (-111.9274193 33.3419328)
,2990,2431,,,residential,0,-111.8907649,33.4166327,POINT (-111.8907649 33.4166327)
,2991,,,traffic_signals,secondary,0,-111.9284545,33.3419233,POINT (-111.9284545 33.3419233)
,2992,,,,primary,0,-111.9485869,33.4445835,POINT (-111.9485869 33.4445835)
,2993,2432,,,residential,0,-111.9306147,33.3419219,POINT (-111.9306147 33.3419219)
,2994,2433,,turning_circle,residential,0,-111.9033409,33.3514099,POINT (-111.9033409 33.3514099)
,2995,,,,others,0,-111.8904566,33.4101078,POINT (-111.8904566 33.4101078)
,2996,2434,,,residential,0,-111.9327803,33.341929,POINT (-111.9327803 33.341929)
,2997,2435,,,residential,0,-111.936995,33.3334552,POINT (-111.936995 33.3334552)
,2998,2436,,turning_circle,residential,0,-111.9448014,33.3264441,POINT (-111.9448014 33.3264441)
,2999,,,,primary,0,-111.9489708,33.4442238,POINT (-111.9489708 33.4442238)
,3000,,,,secondary,0,-111.8957688,33.3348866,POINT (-111.8957688 33.3348866)
,3001,2437,,,residential,0,-111.9369942,33.333527,POINT (-111.9369942 33.333527)
,3002,2438,,,residential,0,-111.8903459,33.4037456,POINT (-111.8903459 33.4037456)
,3003,2439,,turning_circle,residential,0,-111.9136188,33.3518051,POINT (-111.9136188 33.3518051)
,3004,2440,,,residential,0,-111.913812,33.3518768,POINT (-111.913812 33.3518768)
,3005,2441,,,residential,0,-111.9356178,33.3419351,POINT (-111.9356178 33.3419351)
,3006,2442,,,residential,0,-111.9370696,33.3335247,POINT (-111.9370696 33.3335247)
,3007,2443,,,residential,0,-111.9370694,33.3334541,POINT (-111.9370694 33.3334541)
,3008,2444,,,residential,0,-111.9371207,33.3419434,POINT (-111.9371207 33.3419434)
,3009,2445,,turning_loop,residential,0,-111.9018194,33.3920016,POINT (-111.9018194 33.3920016)
,3010,2446,,,residential,0,-111.9485532,33.370466,POINT (-111.9485532 33.370466)
,3011,2447,,turning_circle,residential,0,-111.9149052,33.3414309,POINT (-111.9149052 33.3414309)
,3012,,,traffic_signals,secondary,0,-111.8934754,33.3350194,POINT (-111.8934754 33.3350194)
,3013,2448,,,residential,0,-111.9476842,33.3781969,POINT (-111.9476842 33.3781969)
,3014,2449,,,residential,0,-111.9284253,33.3751862,POINT (-111.9284253 33.3751862)
,3015,2450,,,residential,0,-111.945773,33.4254752,POINT (-111.945773 33.4254752)
,3016,2451,,,residential,0,-111.945773,33.4262792,POINT (-111.945773 33.4262792)
,3017,2452,,,residential,0,-111.94729,33.4262913,POINT (-111.94729 33.4262913)
,3018,2453,,,residential,0,-111.90176,33.3970927,POINT (-111.90176 33.3970927)
,3019,2454,,,residential,0,-111.9457747,33.4243274,POINT (-111.9457747 33.4243274)
,3020,,,stop,tertiary,0,-111.9177134,33.4194298,POINT (-111.9177134 33.4194298)
,3021,2455,,,residential,0,-111.9018649,33.3954168,POINT (-111.9018649 33.3954168)
,3022,2456,,,residential,0,-111.9457689,33.4218985,POINT (-111.9457689 33.4218985)
,3023,2457,,turning_loop,residential,0,-111.9015704,33.3897657,POINT (-111.9015704 33.3897657)
,3024,2458,,,residential,0,-111.8830464,33.4202704,POINT (-111.8830464 33.4202704)
,3025,2459,,,residential,0,-111.9457723,33.42064,POINT (-111.9457723 33.42064)
,3026,2460,,,residential,0,-111.9457633,33.4177924,POINT (-111.9457633 33.4177924)
